taxon_name,taxon_id,count,first_observed,last_observed
Echium arenarium,262509,5.0,2023-11-28,2024-02-14
Maresia nana,263198,0.0,,
Achillea maritima,242192,54.0,2023-08-03,2024-03-13
Stachys maritima,263199,0.0,,
Limoniastrum monopetalum,124725,0.0,,
Saxicola rubetra,247975,0.0,,
Thalasseus sandvicensis,93460,15.0,2022-09-12,2024-11-20
Ichthyaetus audouinii,158468,62.0,2022-06-17,2024-05-22
Gulosus aristotelis,257383,32.0,2022-06-28,2024-06-10
Emberiza schoeniclus,245738,0.0,,
Charadrius alexandrinus,250490,29.0,2022-11-23,2025-01-31
